id,Вид работ,"Стоимость, ₽",Время выполнения
1,Диагностика,500,30
2,Замена блока питания,1500,1
3,Замена матрицы ноутбука,2500,2
4,Замена матрицы монитора,2000,1.5 
5,Чистка от пыли,800,40
6,Замена термопасты,600,30
7,Замена кулера,1200,1
8,Замена видеокарты,1800,1
9,Замена оперативной памяти,700,20
10,Установка SSD,1000,40
12,Переустановка Windows,1500,1.5 
13,Ремонт разъёма питания,1300,1
14,Замена клавиатуры ноутбука,1700,1
15,Ремонт материнской платы,3000,3
16,Настройка Wi-Fi,900,40
17,Чистка принтера,1100,1
18,Замена картриджа,500,15
19,Ремонт блока питания ПК,1900,1.5 
20,Замена звуковой карты,1400,45
21,Настройка игрового ПК,2000,2
